title,subtitle,parentResource,optionalLearningResource,optionalLearningText,Calculation
Log into www.github.com and sign up for a new account,"# Welcome to your first task! 
This step is all about getting you set up with a very important tool for Puddn. Without it, you can't share code easily and we can't hold you accountable.

## Your mission 
Simply go to [github.com](www.github.com) and make an account. 

# What is Github? 
Github is a code repository management platform. There are other great platforms such as GitLab and Bitbucket so feel free to use whatever works best for you if you want. Github (and others) run on an open source technology called Git",Set up a Github account,https://www.w3schools.com/git/git_intro.asp?remote=github,Here is a great explanation for what Git is,Nz2z10F86VS5ZF
Setting up a public repository using Github,,Create a public Github Repository,https://www.youtube.com/watch?v=iv8rSLsi1xo&ab_channel=AnsonAlexander,Here is a great tutorial on how to do it,k9ochGcXLFtNqt
Chapter 1: Linear Algebra,This chapter covers X and Y,Free Textbook for Mathematical Foundations of the book,,,Vuw3inaXRcyrXc
Chapter 1: LA excercise ,This chapter covers X and Y,Free Textbook for Mathematical Foundations of the book,,,fxOEGNVlr01RLu
Chapter 2,This chapter covers X and Y,Free Textbook for Mathematical Foundations of the book,,,0xFvmPyC76Hmak
Chapter 3,This chapter covers X and Y,Free Textbook for Mathematical Foundations of the book,,,iIp5RqkrucgPbM
Create an HTML page,This video is concerned with giving an overview with CSS,Create an HTML page and connect a CSS stylesheet to it,,,knPUHvsMN4iiw2
Create a CSS file,,Create an HTML page and connect a CSS stylesheet to it,,,1wrE0xxyCI884C
"Using the <stylesheet> command, import a stylesheet into the HTML",The link for this resource can be found here: https://www.w3schools.com/css/tryit.asp?filename=trycss_default,Create an HTML page and connect a CSS stylesheet to it,,,hRBonlRq2o0wlD
"Using HTML, create two text boxes for Username and Password",,Create two boxes for User name and Password,,,yXJhinvKXIjRcf
Apply a style using the CSS file,,Create two boxes for User name and Password,,,JgSDz0ToTR5TCz
"Create a button in the HTML file, add the text Log In",,Create a button for Logging In,,,DuKptPjmcRHUwG
Set the text boxes background colour to a CSS variable ,,Use a CSS variable to create a warning message: if one or both of the text boxes contains spaces and the background colour of the empty text box will change to light yellow.,https://www.youtube.com/watch?v=ZU0wY6L1d7U&ab_channel=DesignCourse,Here is a great resource on introducing you to CSS variables,Fha05ZXUqaejwr
Check if any of the inputs have empty spaces. If they do - then change the CSS variable value to yellow,,Use a CSS variable to create a warning message: if one or both of the text boxes contains spaces and the background colour of the empty text box will change to light yellow.,,,UF4a5GzcKqITtY
Initialise a String array,You need to store your words somewhere. An array makes an excellent data store in this case!,Create an array of words to play Hangman with,,,haADBRJRSZWS60
Add words to your String Array,These are the words you'll be using in your Hangman game,Create an array of words to play Hangman with,https://github.com/powerlanguage/word-lists/blob/master/1000-most-common-words.txt,Need inspiration for words in your game? Here is a list of common English words,0jSDWFWh6zwkAM
Initialise a project for your chosen programming language ,,Create an empty source file and save it,"https://www.learnpython.org/en/Hello,_World!",Here is a tutorial in Python if you need a hand,sqRbOSnYKSIiYJ
